Año;Periodo;Temperatura máxima registrada
1970;Junio;42
1971;Junio;44
1972;Junio;38
1973;Junio;37
1974;Junio;37,6
1975;Junio;37
1976;Junio;38
1977;Junio;38,8
1978;Junio;36
1979;Junio;37,4
1980;Junio;39
1981;Junio;44,8
1982;Junio;40,6
1983;Junio;41
1984;Junio;39
1985;Junio;39
1986;Junio;40,6
1987;Junio;41
1988;Junio;36,6
1989;Junio;39,4
1990;Junio;39
1991;Junio;42,9
1992;Junio;34,3
1993;Junio;39,8
1994;Junio;42,5
1995;Junio;39,3
1996;Junio;40,6
1997;Junio;40,8
1998;Junio;39
1999;Junio;40,8
2000;Junio;42,4
2001;Junio;44,1
2002;Junio;40,2
2003;Junio;43,2
2004;Junio;44,6
2005;Junio;42,2
2006;Junio;42,4
2007;Junio;39,3
2008;Junio;42,7
2009;Junio;42,7
2010;Junio;41
2011;Junio;42
2012;Junio;44,6
2013;Junio;40,7
2014;Junio;42
2015;Junio;43,9
2016;Junio;41,5
2017;Junio;44,7
2018;Junio;42,2
2019;Junio;44
2020;Junio;42
2021;Junio;40,5
2022;Junio;44,5
2023;Junio;44,4
2024;Junio;40,5
2025;Junio;46
